"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"515",-0.005,1,6930.01476501691,"515",-0.00486792235915881,1,6929.60769890282,2,"515",1,-0.00486792235915881,6929.56339,0,-0.00486792235915881,0
"231,377,630,762",-0.005,4,7048.59480956597,"231,378,630,762",-0.00588266762914212,4,7051.9103845922,2,"231,378,630,762",4,-0.00588266762914212,7041.61113,0.001,-0.00588266762914212,0.001
"230,463,593,898",-0.005,4,7022.89792337895,"230,454,593,899",-0.00507895892453022,4,7025.22715771542,2,"230,454,593,899",4,-0.00507895892453022,7019.31277,0.01,-0.00507895892453022,0.01
"330",-0.005,1,6993.08642312778,"330",-0.0046261663899835,1,6986.45009550326,2,"330",1,-0.0046261663899835,6985.4713,0,-0.0046261663899835,0
"143,472",-0.005,2,6943.92248606831,"143,473",-0.0054172180940681,2,6933.33302549183,2,"143,473",2,-0.0054172180940681,6933.32256,0.001,-0.0054172180940681,0.001
"230,348,514,745,899",-0.005,5,7017.99269284332,"230,347,516,745,899",-0.00568496201875373,5,7009.6107312983,2,"230,347,516,745,899",5,-0.00568496201875373,7004.39697,0.003,-0.00568496201875373,0.003
"121,335,624,791",-0.005,4,6896.7252591205,"121,334,624,791",-0.00470873207455465,4,6895.17929237615,2,"121,334,624,791",4,-0.00470873207455465,6892.47143,0.001,-0.00470873207455465,0.001
"162,330,564,819",-0.005,4,6953.96792721922,"162,165,329,565,819",-0.00502543865825213,5,6957.15448889394,3,"165,329,565,819",4,-0.00495218666901153,6945.25633,1.002,-0.00502543865825213,0.005
"145,289,395,524,632,777,890",-0.005,7,7007.2651471071,"149,289,395,524,633,775,890",-0.00491435282670172,7,7000.47741141894,2,"149,289,395,524,633,775,890",7,-0.00491435282670172,6996.74731,0.007,-0.00491435282670172,0.007
"469",-0.005,1,7006.50850248799,"469",-0.00508651878125091,1,7003.34611816901,2,"469",1,-0.00508651878125091,7003.34509,0,-0.00508651878125091,0
"149,252,381,502,645,762,873",-0.005,7,6979.22144067205,"148,151,252,382,502,642,645,762,873",-0.0047783536624423,9,6993.87751078403,6,"151,252,382,502,645,762,873",7,-0.00511126809478857,6970.38116,2.002,-0.0047783536624423,0.003
"122,261,379,489,636,744,865",-0.005,7,7089.38462383881,"119,261,381,489,636,745,869",-0.00492332646630883,7,7062.64731193615,2,"119,261,381,489,636,745,869",7,-0.00492332646630883,7060.69524,0.01,-0.00492332646630883,0.01
"156,380,542,726,852",-0.005,5,7040.49782362768,"154,381,542,726,852",-0.00509626971796084,5,7038.52921856375,2,"154,381,542,726,852",5,-0.00509626971796084,7035.8109,0.003,-0.00509626971796084,0.003
"322,656,768",-0.005,3,6968.82274915913,"322,656,765,768",-0.00527673488838432,4,6975.65503639142,3,"322,656,765",3,-0.00523198606214187,6963.9984,1,-0.00527673488838432,0.003
"242,405,540",-0.005,3,6933.15774172905,"242,405,540",-0.00469148790603566,3,6928.58836624419,2,"242,405,540",3,-0.00469148790603566,6928.55163,0,-0.00469148790603566,0
"242,417,587,827",-0.005,4,6969.30962944905,"245,414,588,827",-0.00557662582040185,4,6962.7385809312,2,"245,414,588,827",4,-0.00557662582040185,6953.69328,0.007,-0.00557662582040185,0.007
"142,282,435,578,730,841",-0.005,6,7002.02490966989,"142,144,282,300,349,436,577,730,841",-0.00556769491950924,9,7013.7938318097,3,"144,282,436,577,730,841",6,-0.00473424401170229,6981.89193,3.002,-0.00556769491950924,0.004
"177,278,464,670,781",-0.005,5,6977.79094618224,"175,178,278,464,673,781",-0.00523091568527401,6,6974.55638074187,4,"178,278,464,673,781",5,-0.00516115487071204,6960.37309,1.004,-0.00523091568527401,0.004
"105,232,355,489,623,748,864",-0.005,7,6969.95095004837,"107,232,355,489,623,747,863",-0.00538009037341672,7,6967.59498692182,2,"107,232,355,489,623,747,863",7,-0.00538009037341672,6953.13451,0.004,-0.00538009037341672,0.004
"247",-0.005,1,6943.04692007708,"247",-0.00496357276161065,1,6942.31142810265,2,"247",1,-0.00496357276161065,6942.30327,0,-0.00496357276161065,0
"617",-0.005,1,6929.32035899696,"617",-0.00523677366904833,1,6926.16227747584,2,"617",1,-0.00523677366904833,6926.16139,0,-0.00523677366904833,0
"372",-0.005,1,6994.93321186438,"373",-0.00492768266858114,1,6989.62416342074,2,"373",1,-0.00492768266858114,6989.44248,0.001,-0.00492768266858114,0.001
"486",-0.005,1,6878.82302289435,"486",-0.00504800523680051,1,6877.7874802869,1,"486",1,-0.00504800523680051,6877.78748,0,-0.00504800523680051,0
"599",-0.005,1,6907.52857823625,"599",-0.00510779921592007,1,6905.97860527566,2,"599",1,-0.00510779921592007,6905.68763,0,-0.00510779921592007,0
