"true_model","bic_true_model","nknots_PELT","bic_PELT","nknots_BS","bic_BS","nknots_WBS","bic_WBS","nknots_flasso","bic_flasso","nknots_adaflasso","bic_adaflasso","best_iter","nknots_best_iter","min_bic_flasso"
NA,6884.75756421715,6,55.437122690108,6,63.7764388667019,6,64.5369060978089,0,6882.96847209403,0,6882.96847209403,1,0,6882.96847
NA,6954.22848055753,6,114.915101249889,7,122.242153697742,7,124.428245253723,0,6953.93869114709,0,6953.93869114709,1,0,6953.93869
NA,6906.99713367343,6,55.6608716608764,6,60.8759695702559,6,60.8759695702559,0,6904.23772372192,0,6904.2377237219,1,0,6904.23772
NA,6913.97703572844,6,70.9533243587931,7,80.6625166212539,7,80.6625166212539,0,6909.85641529424,0,6909.85641529424,1,0,6909.85642
NA,6916.89651614022,6,72.5920685802694,7,82.2746230238044,7,82.4918106786435,0,6915.52859881874,0,6915.52859881874,1,0,6915.5286
NA,6832.10141680334,6,0.80128269807787,7,2.44402874960915,7,2.44402874960915,0,6830.7223365946,0,6830.72233659461,1,0,6830.72234
NA,6950.48940189933,6,99.3496902872493,7,103.950968005354,7,104.251801547059,0,6950.02113236384,0,6950.02113236385,1,0,6950.02113
NA,6994.29441225548,6,144.804130771545,6,151.070729939597,6,151.070729939597,0,6991.3663082862,0,6991.36630828621,1,0,6991.36631
NA,7005.1078095798,5,144.634325603729,5,145.579067919423,5,145.579067919423,0,6998.34534716583,0,6998.34534716582,1,0,6998.34535
NA,6919.61637388353,6,73.6559092560944,7,78.3826687296299,6,81.9377063517849,0,6916.78390639785,0,6916.78390639786,1,0,6916.78391
NA,6925.60048133407,6,88.6023838246623,7,88.5800932413892,7,88.7639153552231,0,6925.47248765339,0,6925.4724876534,1,0,6925.47249
NA,6999.8121958194,6,148.469773477423,7,153.986588761413,7,153.986588761413,0,6996.43922382939,0,6996.43922382939,1,0,6996.43922
NA,6953.13405735445,5,87.6843359984857,6,91.7085208514532,6,91.7085208514532,0,6940.48207994504,0,6940.48207994504,1,0,6940.48208
NA,6954.01954361011,6,112.931740961148,7,117.64705417749,7,117.65782404987,0,6951.8079410892,0,6951.8079410892,1,0,6951.80794
NA,6977.09917946926,7,143.277005611502,7,143.277005611502,7,143.277005611502,0,6976.71022663669,0,6976.71022663668,1,0,6976.71023
NA,6937.60714055095,6,87.2247437422383,6,90.962598931213,6,90.962598931213,0,6934.4890021974,0,6934.4890021974,1,0,6934.489
NA,6923.58235543782,5,79.1724859626898,5,81.3036284277453,5,81.3036284277453,0,6922.71792996014,0,6922.71792996014,1,0,6922.71793
NA,6868.14788414533,6,20.9251564699353,6,25.7472255445476,6,25.7472255445476,0,6868.05785093766,0,6868.05785093767,1,0,6868.05785
NA,6950.11954916077,7,119.986852986298,7,122.067108139527,7,122.531483530716,0,6949.30945105941,0,6949.30945105942,1,0,6949.30945
NA,6870.58116251272,6,23.5294064470153,6,23.8295527556397,7,23.0345713116906,0,6869.81738694336,0,6869.81738694335,1,0,6869.81739
NA,6929.00237279878,6,68.2632756230616,7,73.9786825037173,7,74.7402352699268,0,6928.31992437974,0,6928.31992437973,1,0,6928.31992
NA,6868.08702261956,5,39.8526982292779,6,40.1651580849849,6,40.1651580849849,0,6867.24526539091,0,6867.24526539091,1,0,6867.24527
NA,6922.25593552503,6,75.5877616169522,7,75.3501145793164,7,75.3501145793164,0,6917.286364077,0,6917.28636407702,1,0,6917.28636
NA,6921.05943907344,8,75.479030186038,8,76.6036427037548,7,78.9265682720759,0,6919.50073906564,0,6919.50073906566,1,0,6919.50074
NA,6941.57350394117,5,95.7843934441396,6,101.103353746511,6,101.103353746511,0,6941.35341314609,0,6941.35341314609,1,0,6941.35341
NA,6947.18467399339,6,95.388397155106,7,106.21987655186,7,106.21987655186,0,6943.9095144879,0,6943.9095144879,1,0,6943.90951
