"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"162,323,444,669,779",35.7070701502343,"164,331,442,672,786",28.9410781274228,"161,327,447,473,666,788,949",45.8455473617161,"161,327,447,666,788",29.8853767230865,2,"161,327,447,666,788",29.7418,0.022,2.02,0.02,0.02
"183,505,630",55.5454764149104,"191,515,612",46.3328506555349,"190,247,462,514,615,686",67.9397940335114,"190,462,514,615,686",58.0516548189758,7,"190,514,615",46.63469,0.036,3.031,2.031,0.031
"132,246,418,547,746,900",118.77128368328,"158,247,410,548,748,865",101.45083008344,"149,250,409,410,549,713,746,864,891",134.426217022041,"149,250,409,549,746,891",103.819887179326,2,"149,250,409,549,746,891",103.05288,0.073,3.04,0.041,0.041
"124,274,397,499,641,749,892",62.3809301692335,"137,279,398,503,623,739,902",39.5798260204779,"132,276,397,503,622,741,888,902",62.6196405115273,"132,276,397,503,622,741,902",40.511440067131,2,"132,276,397,503,622,741,902",40.11816,0.061,1.045,0.051,0.051
"349,591,698",117.783375355078,"343,575,710",112.622022357178,"324,340,568,719,835",128.866742139617,"340,568,719",113.135680040117,2,"340,568,719",113.0846,0.034,2.053,0.053,0.053
"242,443,625",80.3173312650586,"243,440,622",73.2488212006943,"213,257,435,442,621,632",93.5942603055845,"213,257,435,621",79.1366081419338,3,"257,435,621",74.63907,0.007,3.02,1.027,0.027
"126,240,355,489,665,768,873",86.1314123754378,"118,256,365,515,665,745,885",68.2046252659564,"117,253,360,394,470,518,644,663,746,749,884",94.8863972841407,"117,253,394,470,518,663,749,884",78.8444561161124,2,"117,253,394,470,518,663,749,884",72.94997,0.095,4.078,1.112,1.112
"622,777",44.576987644121,"628,768",37.2119760668414,"533,583,623,778",54.3302650160511,"623,778",38.0774647256764,2,"623,778",37.9811,0.015,2.002,0.002,0.002
"127,312,492,606",48.3973949239984,"188,298,501,600",32.7950581493059,"121,188,297,321,443,488,597,671,788",63.5511798301532,"121,188,297,488,597,671",42.1321000104444,3,"188,297,488,597,671",36.22173,0.09,5.028,2.034,1.089
"277,411,558,829",96.0026108397305,"290,413,562,818",87.6692964048971,"259,282,415,564,818",106.027690185972,"282,415,564,818",88.7148548348651,2,"282,415,564,818",88.70632,0.03,1.026,0.026,0.026
