"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",75.9853080688035,"253,500,757",-3.27586901229138,"242,501,759",75.9853080688035,"242,501,759",75.9853080688035,1,"242,501,759",75.98531,0.008,0.018,0.018,0.018
"252,502,752",115.03965194123,"246,491,759",108.583407021934,"243,490,761",115.785666056963,"243,490,761",108.845682227248,1,"243,490,761",108.84568,0.024,0.03,0.03,0.03
"252,502,752",75.9853080688035,"260,512,754",55.3941158345704,"251,504,511,760",96.7085739057499,"251,511,760",75.9853080688035,1,"251,511,760",75.98531,0.02,1.011,0.018,0.018
"252,502,752",75.9853080688035,"267,493,756",-33.1223241836656,"243,495,767",75.9853080688035,"243,495,767",75.9853080688035,1,"243,495,767",75.98531,0.028,0.031,0.031,0.031
"252,502,752",98.3905364639932,"241,501,748",92.0406173028786,"238,499,753",106.962480180541,"238,499,753",92.6398602308641,1,"238,499,753",92.63986,0.016,0.018,0.018,0.018
"252,502,752",75.9853080688035,"234,503,761",3.24743358400825,"211,228,499,501,774",134.907576205677,"228,499,774",75.9853080688035,1,"228,499,774",75.98531,0.028,2.047,0.049,0.049
"252,502,752",77.9509756654142,"247,495,757",71.387712585134,"244,494,499,759",99.0348800429665,"244,494,759",75.9853080688035,1,"244,494,759",75.98531,0.017,1.018,0.023,0.023
"252,502,752",75.9853080688035,"255,501,742",30.288176830459,"240,248,498,759",96.7085739057499,"248,498,759",75.9853080688035,1,"248,498,759",75.98531,0.014,1.015,0.015,0.015
"252,502,752",81.0169299449562,"241,497,757",64.8342020145467,"201,244,493,500,757,767",138.155105579643,"244,500,757",75.9853080688035,1,"244,500,757",75.98531,0.021,3.015,0.015,0.015
"252,502,752",83.965931878651,"238,500,763",71.438881051377,"228,243,499,764",103.567319564284,"228,499,764",75.9853080688035,1,"228,499,764",75.98531,0.027,1.024,0.039,0.039
"252,502,752",75.9853080688035,"254,498,757",46.4664364438127,"248,497,499,761",96.7085739057499,"248,497,761",75.9853080688035,1,"248,497,761",75.98531,0.011,1.016,0.018,0.018
"252,502,752",88.0050949747072,"246,496,759",82.5625377668085,"238,496,764",107.748492388332,"238,496,764",83.7874206915277,1,"238,496,764",83.78742,0.019,0.032,0.032,0.032
"252,502,752",93.8046616206017,"256,507,751",87.259821105011,"248,506,754",99.0166436736381,"248,506,754",88.0025880421956,1,"248,506,754",88.00259,0.01,0.01,0.01,0.01
"252,502,752",108.786247330756,"266,500,754",104.459819418339,"245,268,490,536,754",146.215253868588,"268,490,754",105.120282650949,2,"268,490,754",104.97988,0.018,2.021,0.03,0.03
"252,502,752",75.9853080688035,"253,505,749",-10.648229797574,"240,504,758",75.9853080688035,"240,504,758",75.9853080688035,1,"240,504,758",75.98531,0.007,0.02,0.02,0.02
"252,502,752",75.9853080688035,"249,502,756",15.9748678387258,"198,239,501,763,770",117.431839742696,"239,501,763",75.9853080688035,1,"239,501,763",75.98531,0.007,2.025,0.025,0.025
"252,502,752",75.9853080688035,"255,499,766",41.9566907208485,"245,499,773",75.9853080688035,"245,499,773",75.9853080688035,1,"245,499,773",75.98531,0.02,0.031,0.031,0.031
"252,502,752",154.780331267371,"267,496,751",146.355400029963,"253,498,755",168.566128753653,"253,498,755",148.338965929385,1,"253,498,755",148.33897,0.022,0.008,0.008,0.008
"252,502,752",75.9853080688035,"253,489,762",51.9824879128933,"238,240,497,761,795",117.431839742696,"240,497,761",75.9853080688035,1,"240,497,761",75.98531,0.024,2.026,0.026,0.026
"252,502,752",75.9853080688035,"254,519,731",60.4142239727406,"249,514,739,749",96.7085739057499,"249,514,739",75.9853080688035,1,"249,514,739",75.98531,0.04,1.018,0.028,0.028
"252,502,752",75.9853080688035,"236,518,740",44.2984183061698,"234,504,756",97.8998378647509,"234,504,756",75.9853080688035,1,"234,504,756",75.98531,0.044,0.024,0.024,0.024
"252,502,752",88.9069782602771,"250,498,752",81.7457095118103,"246,492,528,752",107.679278905735,"246,492,752",82.7200005566983,2,"246,492,752",82.49473,0.006,1.016,0.016,0.016
"252,502,752",114.03743159365,"256,514,737",107.287657156407,"240,503,513,750",155.431313089919,"240,503,750",109.491191517711,2,"240,503,750",109.4899,0.031,1.015,0.015,0.015
"252,502,752",136.902004346175,"259,504,748",130.964975429063,"245,503,756",164.14818053104,"245,503,756",133.284144562078,1,"245,503,756",133.28414,0.013,0.012,0.012,0.012
"252,502,752",79.1400977549844,"241,508,743",73.0285029076603,"238,498,514,745,756",124.09860764635,"238,498,745",75.9853080688035,1,"238,498,745",75.98531,0.026,2.022,0.025,0.025
"252,502,752",75.9853080688035,"265,502,752",1.1695480739812,"249,502,759",75.9853080688035,"249,502,759",75.9853080688035,1,"249,502,759",75.98531,0.013,0.01,0.01,0.01
"252,502,752",75.9853080688035,"250,515,755",35.5553559720792,"244,512,756,782",96.7085739057499,"244,512,756",75.9853080688035,1,"244,512,756",75.98531,0.018,1.022,0.022,0.022
"252,502,752",75.9853080688035,"257,496,754",21.2263615679949,"243,497,759",85.8139628631098,"243,497,759",75.9853080688035,1,"243,497,759",75.98531,0.013,0.021,0.021,0.021
"252,502,752",155.149677372237,"232,520,741",149.857625576918,"229,503,518,748",207.222588947614,"229,503,748",152.045401490722,2,"229,503,748",152.04155,0.049,1.028,0.028,0.028
"252,502,752",84.0079809403552,"234,492,746",70.8459214108517,"230,489,760",104.096857981448,"230,489,760",75.9853080688035,1,"230,489,760",75.98531,0.034,0.043,0.043,0.043
"252,502,752",96.4276842784483,"233,499,756",85.6333631198097,"221,228,496,540,760",141.323467152986,"228,496,760",85.995244923718,2,"228,496,760",85.9604,0.026,2.038,0.038,0.038
"252,502,752",75.9853080688035,"247,491,762",10.3199549995597,"236,490,501,766",96.7085739057499,"236,501,766",75.9853080688035,1,"236,501,766",75.98531,0.026,1.031,0.031,0.031
