"true_model","bic_true_model","PELT","bic_PELT","knots_BS","bic_BS","knots_WBS","bic_WBS","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_pelt","distance_wbs","distance_bs","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"251,501,751",6889.54656051472,"154,251,352,501,634,751,888",15.8961596164289,"154,251,352,501,634,751,888",15.8961596164289,"154,251,352,501,634,751,888",15.8961596164289,"251,257,492,501,503,515,548,570,751",6977.7644206489,"251,501,751",6882.27570803202,2,"251,501,751",6882.15064,4,4,4,6,0,0
"251,501,751",6920.88433874309,"135,253,354,502,640,751,885",54.1758127589992,"135,253,354,502,640,751,885",54.1758127589992,"135,253,354,502,640,751,885",54.1758127589992,"247,250,251,253,474,498,502,512,520,527,751",7059.27327852717,"253,502,751",6916.89888911575,2,"253,502,751",6916.61841,4.003,4.003,4.003,8.001,0.003,0.003
"251,501,751",6912.77446657167,"108,251,402,503,624,751,785",48.1841032719419,"108,251,402,503,624,751,785",48.1841032719419,"108,251,402,503,624,751,785,967",48.0363198004302,"251,484,499,501,503,751,785",7004.26135657841,"251,503,751",6907.52408706389,2,"251,503,751",6907.39596,4.002,5.002,4.002,4,0.002,0.002
"251,501,751",6938.78650718119,"122,253,376,501,628,751,813",65.1296198068936,"122,253,376,501,628,751,813",65.1296198068936,"122,253,376,501,628,751,813",65.1296198068936,"253,499,501,516,517,751,765,767",7015.08465542108,"253,501,751",6924.30032766464,2,"253,501,751",6923.87262,4.002,4.002,4.002,5.002,0.002,0.002
"251,501,751",6963.01503436425,"78,252,394,501,535,751,887",83.4311898793253,"78,254,394,501,535,636,755,913",87.7263216281817,"78,254,394,501,535,636,755,913",87.7263216281817,"251,252,254,501,523,751,755,760",7073.92696013405,"251,501,751,755",6971.29885143122,3,"251,501,755",6960.01401,4.001,5.007,5.007,5,1,0.004
"251,501,751",6957.93277833222,"147,250,416,500,634,750,872",84.5631962451774,"147,250,416,501,634,751,872",85.2407569048978,"147,250,416,501,634,751,872",85.2407569048978,"243,249,250,251,483,486,497,500,501,502,741,743,747,750,751",7115.27919548832,"249,501,751",6956.68787003394,2,"249,501,751",6952.42672,4.003,4.001,4.001,12,0.002,0.002
"251,501,751",7015.47923295327,"173,250,458,500,624,749,942",132.2385596067,"173,250,458,500,624,749,942",132.2385596067,"173,250,458,500,624,749,942",132.2385596067,"250,251,494,500,529,749,754",7077.06276251762,"250,500,749",7001.09366889361,2,"250,500,749",7001.05453,4.004,4.004,4.004,4.003,0.004,0.004
"251,501,751",6908.58641505743,"83,247,344,501,559,749,887",36.770008378234,"83,247,344,501,559,749,887",36.770008378234,"83,247,344,501,559,749,887",36.770008378234,"247,253,415,478,493,499,501,504,748,749,750,752",7022.67784519152,"247,501,749",6909.97875422235,2,"247,501,749",6895.22647,4.006,4.006,4.006,9.003,0.006,0.006
"251,501,751",6961.21265918585,"119,252,365,501,635,751,799",86.3741656147927,"119,252,365,501,635,751,799",86.3741656147927,"141,252,365,501,635,751,799",86.3929998026018,"252,473,492,498,501,751,765",7041.66008559268,"252,501,751",6949.37446705998,2,"252,501,751",6948.88015,4.001,4.001,4.001,4.001,0.001,0.001
"251,501,751",6979.00786281008,"98,251,392,501,644,751,847",115.512495183806,"98,251,392,501,644,751,847",115.512495183806,"98,251,392,501,644,751,949",118.983929606229,"246,249,251,261,500,501,512,513,751",7077.07993128047,"251,501,751",6981.95935136641,2,"251,501,751",6976.23842,4,4,4,6,0,0
"251,501,751",6943.68157056183,"118,251,321,462,501,618,752,900",77.6141547917107,"118,251,321,462,501,618,752,900",77.6141547917107,"118,251,321,462,501,618,752,900",77.6141547917107,"245,251,255,486,496,501,546,751,752,758",7039.4344498977,"245,251,501,752",6953.64802770784,4,"251,501,752",6938.61404,5.001,5.001,5.001,7,1.001,0.001
"251,501,751",6948.42218024729,"137,251,411,501,595,751,859",74.8910956290649,"137,251,411,501,595,751,859",74.8910956290649,"137,251,411,501,595,751,859",74.8910956290649,"250,251,258,441,486,497,501,503,511,751",7074.30751117768,"251,501,751",6944.2380693864,2,"251,501,751",6943.8742,4,4,4,7,0,0
"251,501,751",7031.0895525722,"152,251,387,501,618,752",153.919879586585,"152,251,387,501,618,752",153.919879586585,"152,251,387,501,618,752",153.919879586585,"251,446,494,499,501,752,764",7100.42359307227,"251,501,752",7024.25051601894,2,"251,501,752",7024.22759,3.001,3.001,3.001,4.001,0.001,0.001
"251,501,751",6941.30037715378,"143,251,408,501,616,751,830",76.0399686302061,"143,251,408,502,616,751,830",76.1266514972653,"143,251,408,501,616,751,830",76.0399686302061,"251,501,502,746,748,751",7005.85437035621,"251,501,502,751",6950.37157587136,3,"251,502,751",6937.44274,4,4,4.001,3,1,0.001
"251,501,751",6952.27089711172,"181,251,389,501,619,752,814,938",95.2259373954968,"181,251,389,501,619,752,814,938",95.2259373954968,"181,251,389,501,619,752,814,938",95.2259373954968,"251,501,512,518,751,752",7017.36122544476,"251,501,752",6945.29785444922,2,"251,501,752",6944.47479,5.001,5.001,5.001,3,0.001,0.001
"251,501,751",6947.05464148063,"92,251,402,501,570,714,751,869,976",67.6235627373135,"92,251,402,501,638,751,930",73.1467904910801,"92,251,402,501,638,751,930",73.1467904910801,"247,248,251,471,490,497,501,515,517,519,731,751",7073.68899325618,"251,501,751",6969.15662071734,2,"251,501,751",6945.6987,6,4,4,9,0,0
"251,501,751",6896.09594576885,"95,250,424,501,615,751,876",29.5546493875338,"95,250,424,501,615,750,876",30.6655290682256,"95,250,424,501,615,750,876",30.6655290682256,"250,253,254,255,464,493,501,518,742,750,751,753,761",7041.68784067944,"250,501,751",6892.07296223195,2,"250,501,751",6891.6124,4.001,4.002,4.002,10.001,0.001,0.001
"251,501,751",6959.0462052203,"121,250,343,502,681,748,827",86.9974735860333,"121,250,343,502,681,748,827",86.9974735860333,"121,250,343,502,681,748,827",86.9974735860333,"250,251,496,497,501,502,540,747,748,751",7061.9705359104,"250,502,748",6948.81752708233,2,"250,502,748",6948.42393,4.005,4.005,4.005,7,0.005,0.005
"251,501,751",7008.21116890581,"157,251,417,501,644,750,857",139.06408823706,"157,251,417,501,644,750,857",139.06408823706,"157,251,417,501,644,750,857",139.06408823706,"228,251,452,478,484,491,493,501,750,751,754,755",7176.51231459988,"251,501,750",7007.75316599559,2,"251,501,750",7007.40912,4.001,4.001,4.001,9,0.001,0.001
"251,501,751",7009.23371828828,"141,251,383,501,563,752,940",128.984846201101,"141,251,383,501,563,752,940",128.984846201101,"141,251,383,501,563,752,940",128.984846201101,"251,457,460,484,499,501,752",7082.38886742331,"251,501,752",6997.93280555835,2,"251,501,752",6997.88822,4.001,4.001,4.001,4.001,0.001,0.001
"251,501,751",6945.72199522038,"103,251,396,501,621,751,880",93.0326365619382,"103,251,396,501,621,751,880",93.0326365619382,"103,251,396,501,621,751,880",93.0326365619382,"244,251,252,484,501,502,503,514,515,520,751,754",7091.07631108712,"251,501,751",6943.761637438,2,"251,501,751",6943.59113,4,4,4,9,0,0
"251,501,751",7017.0295142414,"123,252,407,499,748,878",133.530155068471,"123,252,407,499,605,751,878",135.46635305053,"123,252,407,499,751,878",135.919084499949,"251,252,484,490,494,499,501,514,516,519,531,747,748,751,753",7215.70773851881,"251,252,499,751",7029.71795240071,3,"251,499,751",7012.03455,3.006,3.003,4.003,12,1.002,0.002
"251,501,751",7009.31381083202,"114,251,332,507,612,750,817",131.960488588405,"114,251,332,507,612,750,817",131.960488588405,"114,251,332,507,612,750,817",131.960488588405,"251,497,501,507,513,515,750,751,754,756",7172.58758716479,"251,507,751",7000.0021764259,2,"251,507,751",6995.96216,4.007,4.007,4.007,7,0.006,0.006
"251,501,751",6896.45637353365,"70,190,252,414,501,623,752,808,950",20.3296402152306,"70,190,250,414,504,623,752,808,950",20.7328122405046,"70,190,250,414,504,623,752,808,950",20.7328122405046,"250,252,496,497,501,504,519,531,532,752",7021.67305502248,"250,496,504,532,752",6890.28866705729,7,"250,504,752",6880.30717,6.002,6.005,6.005,7.002,2.005,0.005
"251,501,751",6961.27792079251,"70,251,377,501,617,751,856",95.7435889791423,"70,251,377,501,617,751,856",95.7435889791423,"70,251,377,501,617,751,856",95.7435889791423,"251,441,494,498,501,508,751,752,754",7047.90822131577,"251,501,751",6955.32177736082,2,"251,501,751",6955.25961,4,4,4,6,0,0
"251,501,751",7002.19257400547,"144,251,411,501,659,751,847",132.145379246947,"144,251,411,501,659,751,847",132.145379246947,"144,251,411,501,659,751,847",132.145379246947,"250,251,495,496,501,507,751,752",7074.98136776472,"251,501,751",6989.01630071218,2,"251,501,751",6988.9042,4,4,4,5,0,0
"251,501,751",6951.40110043131,"88,254,362,501,674,751,862",71.5469668270487,"88,254,362,501,674,751,862",71.5469668270487,"88,254,362,501,674,751,862",71.5469668270487,"251,252,254,442,499,501,546,566,750,751",7055.62008663897,"254,501,751",6943.82245517363,2,"254,501,751",6943.61316,4.003,4.003,4.003,7,0.003,0.003
"251,501,751",6994.65921609259,"109,252,361,501,623,744,827",123.195577107188,"109,252,361,501,623,744,827",123.195577107188,"109,252,361,501,624,744,827",123.197873332596,"250,251,252,499,501,508,536,744,751",7115.47212663001,"252,501,751",6991.20398899299,2,"252,501,751",6987.91884,4.008,4.008,4.008,6,0.001,0.001
"251,501,751",7011.7781986124,"151,251,377,501,642,751,874",125.736427422766,"151,248,377,501,642,751,874",127.616944984692,"151,248,377,501,642,751,910",127.638373012192,"239,248,251,256,257,495,498,499,501,503,509,511,751,759",7172.69441952611,"257,495,501,751",7016.94093894498,3,"257,501,751",7003.95908,4,4.003,4.003,11,1.006,0.006
"251,501,751",6916.97257228667,"218,251,387,502,630,751,842",56.1630849387426,"218,254,387,502,630,751,842",56.3851008913597,"218,254,387,502,630,751,842",56.3851008913597,"251,254,497,500,501,502,503,750,751",7044.0137280037,"251,501,502,751",6925.02350838182,3,"251,502,751",6912.19009,4.001,4.004,4.004,6,1,0.001
